INFO 2026-06-21 16:32:26,678 views 25856 26276 [SESSION_TRACE_UPLOAD] session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant=2eda0ac6-6af2-493e-8792-bc973fe946b7 voucher_type=PURCHASE file_count=1
INFO 2026-06-21 16:32:27,221 message_factory 25856 26276 [CANONICAL_MESSAGE_EMITTED] task_type=INGESTION ver=v1 corr=43c167db-86ac-4788-abe5-8ed4e743981b trace_id=trace-348a907c1cb8-1782039747 dedupe_key=4b7051058942f1bd6364a00f9b6e152d319e5d6369b688855d6a186b021cff59 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant=2eda0ac6-6af2-493e-8792-bc973fe946b7 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711
INFO 2026-06-21 16:32:27,222 message_factory 25856 26276 [JOB_CONTEXT_PROPAGATED] task_type=INGESTION job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711
INFO 2026-06-21 16:32:27,222 views 25856 26276 [RECORD_CREATED] id=1007711 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 file=IMG_20260406_0006.pdf
INFO 2026-06-21 16:32:27,222 views 25856 26276 [DISTRIBUTED_PIPELINE_ACTIVE] session_id='fdce9a70-4459-4f99-85bb-e7fe14ab95e1' status='ACTIVE'
INFO 2026-06-21 16:32:27,222 views 25856 26276 [REDIS_COORDINATION_ACTIVE] session_id='fdce9a70-4459-4f99-85bb-e7fe14ab95e1' coordinator='redis'
INFO 2026-06-21 16:32:27,288 views 25856 26276 [SQS_DISPATCH_SUCCESS] session_id='fdce9a70-4459-4f99-85bb-e7fe14ab95e1' msg_id='bb7b15df-725c-4904-885a-dd60bf6c72fb' queue='ingestion'
INFO 2026-06-21 16:32:27,319 message_parser 8720 15128 [CONTEXT_TRACE_SCHEMA_VALIDATE] msg_id=bb7b15df-725c-4904-885a-dd60bf6c72fb job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 payload_keys=['record_id', 'job_id', 'file_url', 'file_hash', 'voucher_type', 'attempt', 'upload_type']
INFO 2026-06-21 16:32:27,320 message_parser 8720 15128 [JOB_CONTEXT_VALIDATED] job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:27,320 message_parser 8720 15128 [JOB_CONTEXT_PROPAGATED] type=INGESTION job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711
INFO 2026-06-21 16:32:27,321 worker_base 8720 15128 [QUEUE_MESSAGE_RECEIVED] correlation_id=43c167db-86ac-4788-abe5-8ed4e743981b session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 page_number=1 worker_name=INGESTION
INFO 2026-06-21 16:32:27,322 worker_base 8720 15128 [WORKER_MESSAGE_RECEIVED] correlation_id=43c167db-86ac-4788-abe5-8ed4e743981b upload_session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 invoice_no=unknown queue_name=ingestion worker_id=INGESTION worker_pid=8720 hostname=LAPTOP-601O6S3T retry_count=1 visibility_timeout=1800
INFO 2026-06-21 16:32:27,322 worker_base 8720 15128 [WORKER_PICKUP] role='INGESTION' task_id='bb7b15df-725c-4904-885a-dd60bf6c72fb' session_id='fdce9a70-4459-4f99-85bb-e7fe14ab95e1' job_id='e1ca4245-2a81-42d6-a8bf-f71aff34d1c3' correlation_id='43c167db-86ac-4788-abe5-8ed4e743981b'
INFO 2026-06-21 16:32:27,813 worker_base 8720 15128 [QUEUE_MESSAGE_PROCESSING] correlation_id=43c167db-86ac-4788-abe5-8ed4e743981b session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 worker_name=INGESTION
INFO 2026-06-21 16:32:27,813 worker_base 8720 15128 [PIPELINE_STAGE_ENTER] stage=INGESTION correlation_id=43c167db-86ac-4788-abe5-8ed4e743981b upload_session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 invoice_no=unknown
INFO 2026-06-21 16:32:27,813 ingestion_worker 8720 15128 [CONTEXT_TRACE_INGESTION] job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 trace_id=None
INFO 2026-06-21 16:32:27,813 ingestion_worker 8720 15128 [INGESTION_TASK_START] id=bb7b15df-725c-4904-885a-dd60bf6c72fb record=1007711 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:27,814 ingestion_worker 8720 15128 [INGESTION_TASK_EXECUTE] id=bb7b15df-725c-4904-885a-dd60bf6c72fb record=1007711 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:27,814 ingestion_worker 8720 15128 [INGESTION_RECORD_VERIFIED] id=bb7b15df-725c-4904-885a-dd60bf6c72fb record=1007711
INFO 2026-06-21 16:32:27,814 redis_orchestrator 8720 15128 [REDIS_STATE_MUTATION_ENTER] record=1007711
INFO 2026-06-21 16:32:27,815 redis_orchestrator 8720 15128 [REDIS_STATE_MUTATION_INPUT] record=1007711 raw_input_status=INGESTING
INFO 2026-06-21 16:32:27,815 redis_orchestrator 8720 15128 [REDIS_STATUS_ASSIGN] record=1007711 assigned_status=INGESTING
