Field	Type	Null	Key	Default	Extra
id	bigint	NO	PRI	NULL	auto_increment
tenant_id	varchar(36)	NO		NULL	
created_at	datetime(6)	NO		NULL	
updated_at	datetime(6)	NO		NULL	
type	varchar(20)	NO		NULL	
voucher_number	varchar(50)	NO	MUL	NULL	
date	date	NO		NULL	
party	varchar(255)	YES		NULL	
account	varchar(255)	YES		NULL	
amount	decimal(15,2)	YES		NULL	
total	decimal(15,2)	YES		NULL	
narration	longtext	YES		NULL	
invoice_no	varchar(50)	YES		NULL	
is_inter_state	tinyint(1)	YES		NULL	
total_taxable_amount	decimal(15,2)	YES		NULL	
total_cgst	decimal(15,2)	YES		NULL	
total_sgst	decimal(15,2)	YES		NULL	
total_igst	decimal(15,2)	YES		NULL	
total_debit	decimal(15,2)	YES		NULL	
total_credit	decimal(15,2)	YES		NULL	
from_account	varchar(255)	YES		NULL	
to_account	varchar(255)	YES		NULL	
items_data	json	YES		NULL	
dummy_force	int	YES		NULL	
creation_source	varchar(50)	YES		manual	
source	varchar(50)	YES		manual	
